Rhythm_Restore_Refined_Updated
Timestamp,what time do you usually sleep,what time do you usually wake up,How often do you wake up in the middle of the night?,"How would you rate your stress levels during the day?Scale: 1 = No Stress, 5 = Extremely Stressed)",Do you feel mentally exhausted before bedtime? ,How often do you skip meals?,How much screen time do you get before bed?,Do you engage in any relaxation activities before bed?,How often do you exercise?,Do you consume caffeine(in the evening),How often are you stuck in traffic?,"Do you experience negative social interactions (arguments, conflicts, etc.) often?",Do you work/study late at night?,"What do you think helps you sleep better? (Meditation, Reducing Screen Time, Physical Activity, Warm Bath, Herbal Tea, White Noise, etc.if other mention down)",Diet Suggestions,Workout Suggestions,Sleep Time,Sleep Habit Suggestions,Stress Busters
2025-02-28 18:38:10,11:00:00,06:00:00,occasionally,3,Yes,Sometimes,1Hr,Sometimes,Rarely,Tea,Frequently,Sometimes,Sometimes,Reducing screen time,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-02-28 18:48:07,23:00:00,07:30:00,frequently,3,No,Sometimes,2Hr,Sometimes,Rarely,Tea,Sometimes,Sometimes,Sometimes,Reducing Screen time ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-02-28 18:51:36,11:00:00,06:30:00,occasionally,3,No,Sometimes,1Hr,Sometimes,Rarely,Tea,Rarely,Sometimes,Sometimes,Reducing screen time!,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-02-28 18:53:12,22:30:00,06:30:00,occasionally,2,No,Sometimes,1.5Hr,Sometimes,Never,Tea,Rarely,Sometimes,Yes,Reducing screen time,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Start with light yoga or a 15-min walk daily.,22:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-02-28 18:56:06,03:00:00,06:30:00,frequently,2,Yes,Sometimes,1.5Hr,"Yes, always",Rarely,Yes,Sometimes,No,Yes,White noise,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",03:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-02-28 18:57:59,11:30:00,08:30:00,"never, occasionally, frequently",3,Yes,Often,2Hr,Sometimes,Rarely,No,Daily,Yes,No,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 18:58:27,00:00:00,07:00:00,occasionally,3,Yes,never,2Hr,No,Rarely,"Coffee, Tea",Sometimes,No,No,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",00:00:00,"Good sleep hygiene, continue current habits.",Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 18:58:33,01:30:00,08:30:00,occasionally,2,No,Sometimes,1.5Hr,No,Rarely,No,Frequently,Sometimes,Yes,Physical activity ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-02-28 18:59:47,23:00:00,07:00:00,never,3,No,Occasionally,1.5Hr,Sometimes,A few times a week,No,Sometimes,Sometimes,Sometimes,"Reducing screen time , physical activity ","Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-02-28 19:01:06,01:30:00,08:00:00,frequently,4,Yes,never,more than 2Hr,"Yes, always",Never,No,Sometimes,No,Sometimes,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,01:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:01:48,00:00:00,07:00:00,occasionally,3,No,Sometimes,1Hr,Sometimes,Daily,No,Frequently,Sometimes,No,Warm bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Continue your workout routine; consider relaxation exercises like Tai Chi.,00:00:00,"Good sleep hygiene, continue current habits.",Try progressive muscle relaxation while lying in bed.
2025-02-28 19:02:38,23:30:00,05:00:00,occasionally,3,No,never,2Hr,Sometimes,Daily,No,Rarely,Yes,Sometimes,Workouts ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,23:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 19:02:55,00:00:00,08:30:00,occasionally,1,No,Sometimes,1Hr,No,Daily,No,Frequently,Yes,Sometimes,Mastrubation,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Continue your workout routine; consider relaxation exercises like Tai Chi.,00:00:00,"Good sleep hygiene, continue current habits.","Set emotional boundaries, engage in positive conversations."
2025-02-28 19:03:36,23:00:00,07:00:00,never,3,Yes,Sometimes,1Hr,Sometimes,Never,No,Rarely,Sometimes,Sometimes,Reducing screen time,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Start with light yoga or a 15-min walk daily.,23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-02-28 19:03:37,10:00:00,06:00:00,occasionally,5,No,Occasionally,1Hr,No,Never,Tea,Frequently,Sometimes,Sometimes,Reducing Screen time,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,10:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:04:03,01:00:00,06:20:00,occasionally,3,Yes,Sometimes,1Hr,Sometimes,Rarely,No,Frequently,Yes,Yes,"Peaceful environment, warm bath ","Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 19:06:41,23:30:00,07:00:00,frequently,3,Yes,Sometimes,1Hr,Sometimes,Rarely,Coffee,Sometimes,No,Yes,Reducing screen time ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-02-28 19:07:07,10:00:00,06:00:00,occasionally,5,No,Occasionally,1Hr,Sometimes,Rarely,Tea,Sometimes,No,Sometimes,Sleep silent ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",10:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:07:45,23:30:00,07:30:00,never,2,No,Occasionally,1.5Hr,No,Daily,Coffee,Rarely,Sometimes,Yes,Doing regular physical activities ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,23:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-02-28 19:16:25,11:00:00,07:00:00,frequently,5,Yes,Occasionally,1.5Hr,No,Rarely,Tea,Rarely,Sometimes,Sometimes,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:19:19,23:00:00,07:00:00,occasionally,3,No,never,1Hr,No,A few times a week,No,Daily,Yes,No,"Less screentime 
Less junk food 
","Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 19:19:48,23:30:00,07:00:00,frequently,4,Yes,Occasionally,1Hr,Sometimes,A few times a week,No,Frequently,Yes,Sometimes,Physical Activity,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:20:28,23:00:00,07:00:00,occasionally,3,No,never,1Hr,No,A few times a week,No,Daily,Yes,No,"Meditation 
Physical work ","Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 19:21:12,02:00:00,09:00:00,never,3,Yes,Sometimes,more than 2Hr,Sometimes,A few times a week,Other,Sometimes,Sometimes,Sometimes,physical activity ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",02:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 19:23:06,11:30:00,10:00:00,occasionally,3,Yes,Sometimes,2Hr,No,Rarely,Tea,Sometimes,Sometimes,Yes,Physics activity ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",11:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-02-28 19:28:38,23:00:00,07:00:00,occasionally,5,No,Occasionally,1.5Hr,Sometimes,Rarely,Tea,Sometimes,No,Sometimes,Reduction of screen time and sense of relif that my day has gone productive ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:48:31,11:00:00,05:45:00,occasionally,5,Yes,Often,2Hr,Sometimes,A few times a week,"Yes, No",Sometimes,No,Yes,Warm bath and reducing screen time ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",11:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 19:54:20,23:00:00,07:00:00,occasionally,3,No,Sometimes,1Hr,No,Rarely,Tea,Rarely,Sometimes,Sometimes,Warm bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-02-28 19:58:43,00:30:00,07:00:00,occasionally,3,Yes,Often,more than 2Hr,No,Never,No,Rarely,Sometimes,Sometimes,"Reducing screen time, physical activity,warm bath","Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,00:30:00,"Good sleep hygiene, continue current habits.",Play calm instrumental music or white noise to relax your mind.
2025-02-28 20:45:52,10:00:00,06:00:00,never,3,Yes,Occasionally,1.5Hr,No,A few times a week,No,Sometimes,No,Sometimes,Physical activity and warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",10:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 20:46:55,12:00:00,07:00:00,occasionally,4,Yes,Occasionally,1Hr,Sometimes,Daily,No,Rarely,Yes,Yes,meditation,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 20:51:25,00:00:00,08:00:00,never,3,Yes,Often,1Hr,Sometimes,Rarely,"Coffee, No",Sometimes,Sometimes,Sometimes,Warm bath,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",00:00:00,"Good sleep hygiene, continue current habits.",Play calm instrumental music or white noise to relax your mind.
2025-02-28 20:51:51,12:00:00,08:30:00,occasionally,3,No,Often,2Hr,No,Never,No,Rarely,No,Yes,Reducing Screen time ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-02-28 20:54:31,22:00:00,06:00:00,Always,1,No,Always,1Hr,No,Never,No,Rarely,No,No,More sleep,"Increase meal frequency; eat nuts, bananas, yogurt, and whole-grain snacks. Ensure a protein-rich breakfast.",Start with light yoga or a 15-min walk daily.,22:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 20:54:55,00:00:00,09:00:00,occasionally,4,Yes,Sometimes,more than 2Hr,No,Rarely,Tea,Daily,No,Yes,Bath,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",00:00:00,Practice relaxation techniques like deep breathing before bed.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 20:59:15,03:00:00,08:00:00,Always,4,Yes,Often,more than 2Hr,No,Never,No,Rarely,Sometimes,Sometimes,Meditation ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,03:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 21:29:46,11:30:00,05:00:00,never,1,No,Occasionally,1Hr,"Yes, always",Daily,No,Rarely,No,Yes,Listening to our favourite God devotional songs before going to bed.,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,11:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 22:02:38,12:00:00,07:30:00,occasionally,4,Yes,Sometimes,2Hr,Sometimes,Rarely,Coffee,Rarely,Sometimes,No,Physical activity and reduced screen time,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 22:03:36,01:00:00,07:00:00,frequently,3,Yes,Often,1Hr,Sometimes,A few times a week,No,Rarely,No,Sometimes,Meditation ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Try progressive muscle relaxation while lying in bed.
2025-02-28 22:29:07,01:00:00,09:30:00,occasionally,1,No,Often,1.5Hr,Sometimes,Rarely,No,Sometimes,Sometimes,Yes,Physical Activity,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-02-28 23:05:33,12:00:00,06:00:00,occasionally,2,No,Often,more than 2Hr,Sometimes,Rarely,No,Sometimes,Yes,Yes,Cold bath + eating food 1 or 2  hours before going to bed + no screen time for 1 hour before going to bed,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 23:32:17,03:00:00,10:00:00,never,3,No,Often,more than 2Hr,No,Rarely,Yes,Sometimes,Sometimes,Yes,Reducing screen Time ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",03:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-02-28 23:32:36,01:00:00,08:00:00,occasionally,1,No,Occasionally,1Hr,No,Rarely,No,Sometimes,No,Yes,Reducing Screen,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-02-28 23:35:01,01:30:00,09:00:00,occasionally,1,No,never,1Hr,Sometimes,Rarely,No,Sometimes,No,Yes,Reducing Screen time,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",01:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Journal 3 good things from your day — reflect and wind down.
2025-02-28 23:35:13,22:00:00,08:00:00,occasionally,3,No,never,more than 2Hr,"Yes, always",Never,No,Rarely,Yes,Yes,Books,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,22:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-02-28 23:37:50,03:00:00,11:00:00,occasionally,4,No,Sometimes,1Hr,Sometimes,A few times a week,"Yes, No",Sometimes,Yes,Yes,Y,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",03:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-02-28 23:38:10,05:00:00,14:30:00,Always,1,No,never,more than 2Hr,No,Never,"Coffee, Tea",Daily,No,Yes,follow American timings,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Start with light yoga or a 15-min walk daily.,05:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a 5-minute deep breathing or box breathing session before bed.
2025-03-01 00:56:52,04:00:00,06:00:00,never,5,Yes,Sometimes,more than 2Hr,Sometimes,A few times a week,No,Frequently,Sometimes,Sometimes,Peace,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",04:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-01 01:24:04,12:00:00,07:00:00,never,3,No,Sometimes,1.5Hr,Sometimes,Daily,No,Sometimes,No,Yes,Physical Activity ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.",Continue your workout routine; consider relaxation exercises like Tai Chi.,12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Play calm instrumental music or white noise to relax your mind.
2025-03-07 19:29:30,22:30:00,07:30:00,frequently,2,No,Occasionally,1Hr,"Yes, always",Daily,Tea,Sometimes,No,Yes,Meditation ,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.",Continue your workout routine; consider relaxation exercises like Tai Chi.,22:30:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,Do a short bedtime meditation using apps like Headspace or Insight Timer.
2025-03-07 19:29:38,12:00:00,07:00:00,occasionally,4,Yes,Sometimes,more than 2Hr,Sometimes,A few times a week,No,Sometimes,No,Yes,Peaceful talks with my loved ones ,"Balance meals with protein and fiber; opt for simple home-cooked meals like dal-rice, roti-sabzi, or poha.","Maintain routine, add strength training or stretching.",12:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Try guided meditation, journaling, or breathing exercises."
2025-03-07 19:29:48,23:00:00,08:00:00,occasionally,2,No,Often,1.5Hr,No,Rarely,Yes,Daily,Yes,Sometimes,Milk and deep breathing,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Try 20-30 min of moderate activity 3-4 times a week (e.g., brisk walking, bodyweight exercises).",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
2025-03-07 19:31:18,23:00:00,06:00:00,never,3,No,never,2Hr,No,A few times a week,Tea,Daily,Yes,No,I think that the best thing is reducing the screen time as well as meditation is also effective,"Maintain a balanced diet with whole grains, legumes, and fresh fruits; avoid excess processed foods.","Maintain routine, add strength training or stretching.",23:00:00,Try to sleep earlier; avoid screens before bed and have a nighttime routine.,"Set emotional boundaries, engage in positive conversations."
